,Zipcode,Stats,Below poverty level,Percent below poverty level,Total
542,60563,Estimate,1929.0,5.1,37841.0
543,60563,Margin of Error,600.0,1.6,1388.0
544,60564,Estimate,1953.0,4.5,43566.0
545,60564,Margin of Error,684.0,1.5,1239.0
546,60565,Estimate,1081.0,2.8,39081.0
547,60565,Margin of Error,455.0,1.2,1447.0
548,60585,Estimate,249.0,1.0,25461.0
549,60585,Margin of Error,156.0,0.6,1034.0
550,60586,Estimate,2176.0,4.6,46894.0
551,60586,Margin of Error,825.0,1.7,1556.0
552,60601,Estimate,1240.0,8.9,13925.0
553,60601,Margin of Error,754.0,4.4,2080.0
554,60602,Estimate,10.0,0.6,1576.0
555,60602,Margin of Error,17.0,1.2,531.0
556,60603,Estimate,111.0,11.3,981.0
557,60603,Margin of Error,72.0,7.1,213.0
558,60604,Estimate,209.0,28.7,729.0
559,60604,Margin of Error,172.0,19.0,251.0
560,60605,Estimate,1821.0,6.5,28047.0
561,60605,Margin of Error,691.0,2.3,2135.0
562,60606,Estimate,220.0,6.9,3204.0
563,60606,Margin of Error,125.0,3.8,724.0
564,60607,Estimate,5063.0,18.4,27591.0
565,60607,Margin of Error,806.0,2.8,2035.0
566,60608,Estimate,11491.0,16.5,69659.0
567,60608,Margin of Error,1361.0,1.9,2925.0
568,60609,Estimate,15997.0,26.6,60170.0
569,60609,Margin of Error,1839.0,2.6,2816.0
570,60610,Estimate,4234.0,10.8,39353.0
571,60610,Margin of Error,913.0,2.2,2009.0
572,60611,Estimate,3366.0,10.1,33445.0
573,60611,Margin of Error,594.0,1.8,2000.0
574,60612,Estimate,9215.0,29.9,30771.0
575,60612,Margin of Error,1028.0,2.9,1351.0
576,60613,Estimate,4950.0,9.7,51066.0
577,60613,Margin of Error,892.0,1.6,2372.0
578,60614,Estimate,6074.0,8.8,68920.0
579,60614,Margin of Error,793.0,1.0,2404.0
580,60615,Estimate,10747.0,26.4,40729.0
