,Zipcode,Stats,EDUCATIONAL ATTAINMENT,Below poverty level,Percent below poverty level,Total
200,60033,Estimate,Bachelor's degree or higher,23.0,1.9,1230.0
201,60033,Estimate,High school graduate (includes equivalency),231.0,7.6,3035.0
202,60033,Estimate,Less than high school graduate,430.0,22.9,1881.0
203,60033,Estimate,Population 25 years and over,847.0,10.4,8179.0
204,60033,Estimate,"Some college, associate's degree",163.0,8.0,2033.0
205,60033,Margin of Error,Bachelor's degree or higher,22.0,1.8,236.0
206,60033,Margin of Error,High school graduate (includes equivalency),135.0,4.6,427.0
207,60033,Margin of Error,Less than high school graduate,150.0,7.3,314.0
208,60033,Margin of Error,Population 25 years and over,184.0,2.4,474.0
209,60033,Margin of Error,"Some college, associate's degree",88.0,4.2,319.0
210,60034,Estimate,Bachelor's degree or higher,40.0,13.6,295.0
211,60034,Estimate,High school graduate (includes equivalency),34.0,8.5,398.0
212,60034,Estimate,Less than high school graduate,19.0,12.2,156.0
213,60034,Estimate,Population 25 years and over,141.0,9.8,1433.0
214,60034,Estimate,"Some college, associate's degree",48.0,8.2,584.0
215,60034,Margin of Error,Bachelor's degree or higher,50.0,14.6,101.0
216,60034,Margin of Error,High school graduate (includes equivalency),25.0,5.6,104.0
217,60034,Margin of Error,Less than high school graduate,21.0,12.8,65.0
218,60034,Margin of Error,Population 25 years and over,72.0,4.6,219.0
219,60034,Margin of Error,"Some college, associate's degree",34.0,6.0,139.0
220,60035,Estimate,Bachelor's degree or higher,555.0,3.5,15818.0
221,60035,Estimate,High school graduate (includes equivalency),135.0,8.3,1633.0
222,60035,Estimate,Less than high school graduate,82.0,13.9,592.0
223,60035,Estimate,Population 25 years and over,956.0,4.6,20779.0
224,60035,Estimate,"Some college, associate's degree",184.0,6.7,2736.0
225,60035,Margin of Error,Bachelor's degree or higher,164.0,1.0,605.0
226,60035,Margin of Error,High school graduate (includes equivalency),100.0,6.0,252.0
227,60035,Margin of Error,Less than high school graduate,60.0,9.9,196.0
228,60035,Margin of Error,Population 25 years and over,226.0,1.1,477.0
229,60035,Margin of Error,"Some college, associate's degree",67.0,2.5,341.0
230,60040,Estimate,Bachelor's degree or higher,138.0,10.0,1379.0
231,60040,Estimate,High school graduate (includes equivalency),145.0,18.8,773.0
232,60040,Estimate,Less than high school graduate,86.0,14.5,595.0
233,60040,Estimate,Population 25 years and over,416.0,11.8,3514.0
234,60040,Estimate,"Some college, associate's degree",47.0,6.1,767.0
235,60040,Margin of Error,Bachelor's degree or higher,173.0,12.0,282.0
236,60040,Margin of Error,High school graduate (includes equivalency),110.0,13.0,215.0
237,60040,Margin of Error,Less than high school graduate,69.0,12.5,198.0
238,60040,Margin of Error,Population 25 years and over,231.0,6.6,257.0
239,60040,Margin of Error,"Some college, associate's degree",51.0,7.5,363.0
240,60041,Estimate,Bachelor's degree or higher,55.0,3.1,1757.0
241,60041,Estimate,High school graduate (includes equivalency),141.0,8.0,1772.0
242,60041,Estimate,Less than high school graduate,155.0,27.5,564.0
243,60041,Estimate,Population 25 years and over,477.0,8.2,5793.0
244,60041,Estimate,"Some college, associate's degree",126.0,7.4,1700.0
245,60041,Margin of Error,Bachelor's degree or higher,61.0,3.9,573.0
246,60041,Margin of Error,High school graduate (includes equivalency),102.0,5.7,328.0
247,60041,Margin of Error,Less than high school graduate,186.0,25.5,264.0
248,60041,Margin of Error,Population 25 years and over,245.0,4.2,706.0
249,60041,Margin of Error,"Some college, associate's degree",91.0,5.2,357.0
250,60042,Estimate,Bachelor's degree or higher,24.0,1.4,1675.0
251,60042,Estimate,High school graduate (includes equivalency),198.0,9.8,2019.0
252,60042,Estimate,Less than high school graduate,82.0,22.2,370.0
253,60042,Estimate,Population 25 years and over,515.0,8.6,5957.0
254,60042,Estimate,"Some college, associate's degree",211.0,11.1,1893.0
255,60042,Margin of Error,Bachelor's degree or higher,32.0,1.9,272.0
256,60042,Margin of Error,High school graduate (includes equivalency),147.0,6.8,298.0
257,60042,Margin of Error,Less than high school graduate,55.0,11.3,127.0
258,60042,Margin of Error,Population 25 years and over,193.0,3.2,349.0
259,60042,Margin of Error,"Some college, associate's degree",121.0,6.3,232.0
260,60043,Estimate,Bachelor's degree or higher,51.0,4.0,1288.0
261,60043,Estimate,High school graduate (includes equivalency),0.0,0.0,36.0
262,60043,Estimate,Less than high school graduate,0.0,0.0,16.0
263,60043,Estimate,Population 25 years and over,51.0,3.6,1402.0
264,60043,Estimate,"Some college, associate's degree",0.0,0.0,62.0
