,Zipcode,Stats,SEX,Below poverty level,Percent below poverty level,Total
275,60106,Margin of Error,Male,355.0,3.5,463.0
276,60107,Estimate,Female,1458.0,7.3,19963.0
277,60107,Estimate,Male,1240.0,6.3,19702.0
278,60107,Margin of Error,Female,426.0,2.1,915.0
279,60107,Margin of Error,Male,408.0,2.0,613.0
280,60108,Estimate,Female,822.0,7.0,11677.0
281,60108,Estimate,Male,654.0,6.2,10605.0
282,60108,Margin of Error,Female,263.0,2.2,526.0
283,60108,Margin of Error,Male,247.0,2.3,511.0
284,60109,Estimate,Female,15.0,5.7,263.0
285,60109,Estimate,Male,14.0,6.3,221.0
286,60109,Margin of Error,Female,15.0,6.1,105.0
287,60109,Margin of Error,Male,18.0,7.7,67.0
288,60110,Estimate,Female,2480.0,12.6,19659.0
289,60110,Estimate,Male,2044.0,10.6,19338.0
290,60110,Margin of Error,Female,593.0,2.8,777.0
291,60110,Margin of Error,Male,478.0,2.4,843.0
292,60111,Estimate,Female,0.0,0.0,58.0
293,60111,Estimate,Male,0.0,0.0,66.0
294,60111,Margin of Error,Female,12.0,38.9,31.0
295,60111,Margin of Error,Male,12.0,36.3,35.0
296,60112,Estimate,Female,228.0,11.2,2043.0
297,60112,Estimate,Male,154.0,6.3,2458.0
298,60112,Margin of Error,Female,169.0,8.0,216.0
299,60112,Margin of Error,Male,96.0,3.9,260.0
300,60113,Estimate,Female,9.0,6.1,147.0
301,60113,Estimate,Male,4.0,2.5,162.0
302,60113,Margin of Error,Female,11.0,7.2,59.0
303,60113,Margin of Error,Male,7.0,4.3,63.0
304,60115,Estimate,Female,5651.0,27.3,20717.0
305,60115,Estimate,Male,4957.0,24.3,20394.0
306,60115,Margin of Error,Female,679.0,3.1,617.0
307,60115,Margin of Error,Male,688.0,3.3,620.0
308,60118,Estimate,Female,466.0,5.7,8166.0
309,60118,Estimate,Male,325.0,4.2,7830.0
310,60118,Margin of Error,Female,158.0,1.9,415.0
311,60118,Margin of Error,Male,172.0,2.2,388.0
312,60119,Estimate,Female,201.0,3.9,5166.0
313,60119,Estimate,Male,193.0,3.7,5222.0
314,60119,Margin of Error,Female,129.0,2.7,446.0
315,60119,Margin of Error,Male,132.0,2.4,670.0
316,60120,Estimate,Female,3752.0,15.3,24464.0
317,60120,Estimate,Male,2784.0,10.9,25552.0
318,60120,Margin of Error,Female,724.0,2.8,1201.0
319,60120,Margin of Error,Male,481.0,1.8,1079.0
320,60123,Estimate,Female,2726.0,11.3,24072.0
321,60123,Estimate,Male,2133.0,8.9,24020.0
322,60123,Margin of Error,Female,576.0,2.3,1133.0
323,60123,Margin of Error,Male,467.0,1.9,1341.0
324,60124,Estimate,Female,269.0,2.5,10907.0
325,60124,Estimate,Male,184.0,1.7,11085.0
326,60124,Margin of Error,Female,202.0,1.9,794.0
327,60124,Margin of Error,Male,118.0,1.1,917.0
328,60126,Estimate,Female,983.0,4.1,24129.0
329,60126,Estimate,Male,733.0,3.1,23458.0
330,60126,Margin of Error,Female,227.0,0.9,646.0
331,60126,Margin of Error,Male,172.0,0.7,638.0
332,60129,Estimate,Female,11.0,11.8,93.0
333,60129,Estimate,Male,24.0,18.9,127.0
334,60129,Margin of Error,Female,19.0,17.8,42.0
335,60129,Margin of Error,Male,37.0,25.4,74.0
336,60130,Estimate,Female,733.0,10.0,7323.0
337,60130,Estimate,Male,506.0,8.1,6276.0
338,60130,Margin of Error,Female,254.0,3.4,405.0
339,60130,Margin of Error,Male,204.0,3.3,423.0
340,60131,Estimate,Female,1196.0,13.3,8998.0
341,60131,Estimate,Male,1016.0,11.7,8657.0
342,60131,Margin of Error,Female,491.0,5.5,601.0
343,60131,Margin of Error,Male,344.0,4.1,603.0
344,60133,Estimate,Female,2506.0,12.7,19667.0
345,60133,Estimate,Male,2285.0,12.8,17893.0
346,60133,Margin of Error,Female,553.0,2.8,535.0
347,60133,Margin of Error,Male,563.0,3.1,521.0
348,60134,Estimate,Female,626.0,4.2,15016.0
349,60134,Estimate,Male,322.0,2.3,13864.0
350,60134,Margin of Error,Female,261.0,1.7,640.0
351,60134,Margin of Error,Male,137.0,1.0,696.0
352,60135,Estimate,Female,301.0,8.9,3390.0
353,60135,Estimate,Male,210.0,5.8,3604.0
354,60135,Margin of Error,Female,194.0,5.8,389.0
355,60135,Margin of Error,Male,141.0,3.9,371.0
356,60136,Estimate,Female,118.0,3.2,3652.0
357,60136,Estimate,Male,24.0,0.7,3688.0
358,60136,Margin of Error,Female,195.0,5.2,421.0
359,60136,Margin of Error,Male,44.0,1.2,430.0
360,60137,Estimate,Female,651.0,3.4,19385.0
361,60137,Estimate,Male,942.0,5.1,18457.0
362,60137,Margin of Error,Female,216.0,1.1,603.0
363,60137,Margin of Error,Male,226.0,1.2,709.0
364,60139,Estimate,Female,2000.0,11.8,16929.0
365,60139,Estimate,Male,1331.0,7.9,16940.0
366,60139,Margin of Error,Female,434.0,2.5,496.0
367,60139,Margin of Error,Male,361.0,2.1,504.0
368,60140,Estimate,Female,884.0,9.6,9232.0
369,60140,Estimate,Male,494.0,5.6,8854.0
370,60140,Margin of Error,Female,461.0,5.0,725.0
371,60140,Margin of Error,Male,304.0,3.4,657.0
372,60141,Estimate,Female,31.0,79.5,39.0
373,60141,Estimate,Male,41.0,20.6,199.0
374,60141,Margin of Error,Female,42.0,41.4,49.0
375,60141,Margin of Error,Male,32.0,17.5,123.0
376,60142,Estimate,Female,1214.0,8.3,14712.0
377,60142,Estimate,Male,509.0,3.5,14494.0
378,60142,Margin of Error,Female,606.0,4.0,693.0
379,60142,Margin of Error,Male,387.0,2.6,683.0
380,60143,Estimate,Female,260.0,4.3,5984.0
381,60143,Estimate,Male,136.0,2.5,5380.0
382,60143,Margin of Error,Female,148.0,2.4,427.0
