,Zipcode,Age group,Estimate
329,60659,Under 5 years,3668.0
330,60660,Under 5 years,2279.0
331,60661,Under 5 years,592.0
332,60706,Under 5 years,1251.0
333,60707,Under 5 years,2145.0
334,60712,Under 5 years,650.0
335,60714,Under 5 years,1337.0
336,60803,Under 5 years,1269.0
337,60804,Under 5 years,4904.0
338,60805,Under 5 years,1215.0
339,60827,Under 5 years,2699.0
340,60901,Under 5 years,2266.0
341,60910,Under 5 years,49.0
342,60911,Under 5 years,81.0
343,60912,Under 5 years,43.0
344,60913,Under 5 years,49.0
345,60914,Under 5 years,1689.0
346,60915,Under 5 years,714.0
347,60917,Under 5 years,35.0
348,60918,Under 5 years,25.0
349,60919,Under 5 years,24.0
350,60920,Under 5 years,1.0
351,60921,Under 5 years,146.0
352,60922,Under 5 years,143.0
353,60924,Under 5 years,152.0
354,60926,Under 5 years,0.0
355,60927,Under 5 years,126.0
356,60928,Under 5 years,32.0
357,60929,Under 5 years,16.0
358,60930,Under 5 years,25.0
359,60931,Under 5 years,44.0
360,60932,Under 5 years,0.0
361,60933,Under 5 years,7.0
362,60934,Under 5 years,8.0
363,60935,Under 5 years,128.0
364,60936,Under 5 years,237.0
365,60938,Under 5 years,110.0
366,60940,Under 5 years,203.0
367,60941,Under 5 years,118.0
368,60942,Under 5 years,336.0
369,60945,Under 5 years,7.0
370,60946,Under 5 years,27.0
371,60948,Under 5 years,55.0
372,60949,Under 5 years,25.0
373,60950,Under 5 years,491.0
374,60951,Under 5 years,64.0
375,60952,Under 5 years,20.0
376,60953,Under 5 years,152.0
377,60954,Under 5 years,292.0
378,60955,Under 5 years,51.0
379,60957,Under 5 years,258.0
380,60958,Under 5 years,26.0
381,60959,Under 5 years,76.0
382,60960,Under 5 years,28.0
383,60961,Under 5 years,50.0
384,60962,Under 5 years,52.0
385,60963,Under 5 years,103.0
386,60964,Under 5 years,279.0
387,60966,Under 5 years,68.0
388,60968,Under 5 years,48.0
389,60969,Under 5 years,6.0
390,60970,Under 5 years,269.0
391,60973,Under 5 years,43.0
392,60974,Under 5 years,12.0
393,61001,Under 5 years,41.0
394,61006,Under 5 years,41.0
395,61007,Under 5 years,41.0
396,61008,Under 5 years,1711.0
397,61010,Under 5 years,460.0
398,61011,Under 5 years,96.0
399,61012,Under 5 years,266.0
400,61013,Under 5 years,38.0
401,61014,Under 5 years,118.0
402,61015,Under 5 years,52.0
403,61016,Under 5 years,327.0
404,61018,Under 5 years,54.0
405,61019,Under 5 years,77.0
406,61020,Under 5 years,125.0
407,61021,Under 5 years,1183.0
408,61024,Under 5 years,203.0
409,61025,Under 5 years,259.0
410,61027,Under 5 years,23.0
411,61028,Under 5 years,85.0
412,61030,Under 5 years,87.0
413,61031,Under 5 years,77.0
414,61032,Under 5 years,1719.0
415,61036,Under 5 years,113.0
416,61037,Under 5 years,0.0
417,61038,Under 5 years,45.0
418,61039,Under 5 years,117.0
419,61041,Under 5 years,106.0
420,61042,Under 5 years,18.0
421,61043,Under 5 years,3.0
422,61044,Under 5 years,14.0
423,61046,Under 5 years,102.0
424,61047,Under 5 years,114.0
425,61048,Under 5 years,139.0
426,61049,Under 5 years,58.0
427,61050,Under 5 years,9.0
428,61051,Under 5 years,101.0
429,61052,Under 5 years,16.0
430,61053,Under 5 years,123.0
431,61054,Under 5 years,349.0
432,61057,Under 5 years,0.0
433,61059,Under 5 years,39.0
434,61060,Under 5 years,54.0
435,61061,Under 5 years,378.0
436,61062,Under 5 years,161.0
437,61063,Under 5 years,269.0
438,61064,Under 5 years,86.0
439,61065,Under 5 years,746.0
440,61067,Under 5 years,10.0
441,61068,Under 5 years,753.0
442,61070,Under 5 years,81.0
443,61071,Under 5 years,813.0
444,61072,Under 5 years,375.0
445,61073,Under 5 years,1542.0
446,61074,Under 5 years,202.0
447,61075,Under 5 years,67.0
448,61077,Under 5 years,0.0
449,61078,Under 5 years,120.0
450,61079,Under 5 years,2.0
451,61080,Under 5 years,797.0
452,61081,Under 5 years,1026.0
453,61084,Under 5 years,110.0
454,61085,Under 5 years,102.0
455,61087,Under 5 years,111.0
456,61088,Under 5 years,318.0
457,61089,Under 5 years,44.0
458,61091,Under 5 years,0.0
459,61101,Under 5 years,1036.0
460,61102,Under 5 years,1177.0
461,61103,Under 5 years,1416.0
462,61104,Under 5 years,1349.0
463,61107,Under 5 years,1303.0
464,61108,Under 5 years,1807.0
465,61109,Under 5 years,2441.0
466,61111,Under 5 years,1728.0
467,61112,Under 5 years,0.0
468,61114,Under 5 years,708.0
469,61115,Under 5 years,1175.0
470,61201,Under 5 years,2247.0
471,61230,Under 5 years,47.0
472,61231,Under 5 years,290.0
473,61232,Under 5 years,37.0
474,61234,Under 5 years,63.0
475,61235,Under 5 years,107.0
476,61236,Under 5 years,1.0
477,61238,Under 5 years,157.0
478,61239,Under 5 years,76.0
479,61240,Under 5 years,141.0
480,61241,Under 5 years,304.0
481,61242,Under 5 years,31.0
482,61243,Under 5 years,10.0
483,61244,Under 5 years,1603.0
484,61250,Under 5 years,118.0
485,61251,Under 5 years,43.0
486,61252,Under 5 years,278.0
487,61254,Under 5 years,463.0
488,61256,Under 5 years,128.0
489,61257,Under 5 years,103.0
490,61258,Under 5 years,0.0
491,61259,Under 5 years,122.0
492,61260,Under 5 years,33.0
493,61261,Under 5 years,42.0
494,61262,Under 5 years,83.0
495,61263,Under 5 years,77.0
496,61264,Under 5 years,543.0
497,61265,Under 5 years,2755.0
498,61270,Under 5 years,404.0
499,61272,Under 5 years,53.0
500,61273,Under 5 years,169.0
501,61274,Under 5 years,10.0
502,61275,Under 5 years,260.0
503,61276,Under 5 years,16.0
504,61277,Under 5 years,183.0
505,61278,Under 5 years,27.0
506,61279,Under 5 years,48.0
507,61281,Under 5 years,51.0
508,61282,Under 5 years,690.0
509,61283,Under 5 years,128.0
510,61284,Under 5 years,73.0
511,61285,Under 5 years,61.0
512,61301,Under 5 years,545.0
513,61310,Under 5 years,118.0
514,61311,Under 5 years,0.0
515,61312,Under 5 years,20.0
516,61313,Under 5 years,0.0
517,61314,Under 5 years,47.0
518,61315,Under 5 years,7.0
519,61316,Under 5 years,12.0
520,61317,Under 5 years,27.0
521,61318,Under 5 years,42.0
522,61319,Under 5 years,58.0
523,61320,Under 5 years,36.0
524,61321,Under 5 years,23.0
525,61322,Under 5 years,86.0
526,61323,Under 5 years,3.0
527,61324,Under 5 years,0.0
528,61325,Under 5 years,85.0
529,61326,Under 5 years,147.0
530,61327,Under 5 years,74.0
531,61328,Under 5 years,0.0
532,61329,Under 5 years,70.0
533,61330,Under 5 years,27.0
534,61331,Under 5 years,0.0
535,61332,Under 5 years,9.0
536,61333,Under 5 years,9.0
537,61334,Under 5 years,52.0
538,61335,Under 5 years,10.0
539,61336,Under 5 years,11.0
540,61337,Under 5 years,59.0
541,61338,Under 5 years,6.0
542,61340,Under 5 years,22.0
543,61341,Under 5 years,425.0
544,61342,Under 5 years,423.0
545,61344,Under 5 years,20.0
546,61345,Under 5 years,50.0
547,61346,Under 5 years,3.0
548,61348,Under 5 years,204.0
549,61349,Under 5 years,43.0
550,61350,Under 5 years,1295.0
551,61353,Under 5 years,86.0
552,61354,Under 5 years,663.0
553,61356,Under 5 years,505.0
554,61358,Under 5 years,2.0
555,61359,Under 5 years,28.0
556,61360,Under 5 years,232.0
557,61361,Under 5 years,92.0
558,61362,Under 5 years,226.0
559,61363,Under 5 years,19.0
560,61364,Under 5 years,1139.0
561,61367,Under 5 years,55.0
562,61368,Under 5 years,55.0
563,61369,Under 5 years,79.0
564,61370,Under 5 years,41.0
565,61372,Under 5 years,16.0
566,61373,Under 5 years,81.0
567,61374,Under 5 years,9.0
568,61375,Under 5 years,41.0
569,61376,Under 5 years,83.0
570,61377,Under 5 years,126.0
571,61378,Under 5 years,23.0
572,61379,Under 5 years,77.0
573,61401,Under 5 years,1681.0
574,61410,Under 5 years,220.0
575,61411,Under 5 years,10.0
576,61412,Under 5 years,67.0
577,61413,Under 5 years,53.0
578,61414,Under 5 years,73.0
579,61415,Under 5 years,171.0
580,61416,Under 5 years,10.0
581,61417,Under 5 years,0.0
582,61418,Under 5 years,23.0
583,61419,Under 5 years,3.0
584,61420,Under 5 years,61.0
585,61421,Under 5 years,95.0
586,61422,Under 5 years,219.0
587,61423,Under 5 years,12.0
588,61424,Under 5 years,4.0
589,61425,Under 5 years,30.0
590,61426,Under 5 years,0.0
591,61427,Under 5 years,63.0
592,61428,Under 5 years,16.0
593,61430,Under 5 years,20.0
594,61431,Under 5 years,0.0
595,61432,Under 5 years,18.0
596,61433,Under 5 years,0.0
597,61434,Under 5 years,183.0
598,61435,Under 5 years,0.0
599,61436,Under 5 years,31.0
600,61437,Under 5 years,57.0
601,61438,Under 5 years,39.0
602,61439,Under 5 years,25.0
603,61440,Under 5 years,54.0
604,61441,Under 5 years,128.0
605,61442,Under 5 years,17.0
606,61443,Under 5 years,942.0
607,61447,Under 5 years,58.0
608,61448,Under 5 years,281.0
609,61449,Under 5 years,5.0
610,61450,Under 5 years,110.0
611,61451,Under 5 years,14.0
612,61452,Under 5 years,1.0
613,61453,Under 5 years,74.0
614,61454,Under 5 years,34.0
615,61455,Under 5 years,838.0
616,61458,Under 5 years,10.0
617,61459,Under 5 years,1.0
